iter	Passed	Remaining
804	8945	2166
805	8955	2155
806	8968	2144
807	8980	2133
808	8992	2122
809	9003	2111
810	9013	2100
811	9023	2089
812	9032	2077
813	9043	2066
814	9054	2055
815	9064	2043
816	9074	2032
817	9084	2021
818	9095	2010
819	9105	1998
820	9115	1987
821	9126	1976
822	9135	1964
823	9145	1953
824	9154	1941
825	9164	1930
826	9176	1919
827	9185	1908
828	9194	1896
829	9203	1885
830	9211	1873
831	9222	1862
832	9232	1851
833	9243	1839
834	9251	1828
835	9262	1816
836	9270	1805
837	9282	1794
838	9293	1783
839	9303	1772
840	9313	1760
841	9323	1749
842	9332	1738
843	9341	1726
844	9349	1714
845	9358	1703
846	9366	1691
847	9375	1680
848	9385	1669
849	9394	1657
850	9403	1646
851	9413	1635
852	9422	1623
853	9432	1612
854	9441	1601
855	9450	1589
856	9459	1578
857	9466	1566
858	9476	1555
859	9486	1544
860	9496	1533
861	9505	1521
862	9514	1510
863	9523	1499
864	9531	1487
865	9543	1476
866	9554	1465
867	9564	1454
868	9573	1443
869	9584	1432
870	9592	1420
871	9602	1409
872	9611	1398
873	9621	1387
874	9632	1376
875	9642	1364
876	9653	1353
877	9662	1342
878	9673	1331
879	9683	1320
880	9692	1309
881	9704	1298
882	9715	1287
883	9724	1276
884	9735	1265
885	9746	1254
886	9756	1242
887	9765	1231
888	9775	1220
889	9786	1209
890	9795	1198
891	9804	1187
892	9812	1175
893	9822	1164
894	9832	1153
895	9841	1142
896	9851	1131
897	9859	1119
898	9870	1108
899	9879	1097
900	9890	1086
901	9899	1075
902	9910	1064
903	9919	1053
904	9931	1042
905	9941	1031
906	9950	1020
907	9961	1009
908	9970	998
909	9981	987
910	9993	976
911	10001	965
912	10011	954
913	10020	942
914	10031	931
915	10040	920
916	10049	909
917	10059	898
918	10068	887
919	10078	876
920	10087	865
921	10097	854
922	10109	843
923	10122	832
924	10133	821
925	10144	810
926	10154	799
927	10163	788
928	10173	777
929	10182	766
930	10194	755
931	10204	744
932	10213	733
933	10224	722
934	10233	711
935	10242	700
936	10251	689
937	10261	678
938	10272	667
939	10281	656
940	10290	645
941	10299	634
942	10307	623
943	10316	612
944	10328	601
945	10342	590
946	10354	579
947	10364	568
948	10375	557
949	10384	546
950	10394	535
951	10405	524
952	10413	513
953	10422	502
954	10433	491
955	10443	480
956	10454	469
957	10465	458
958	10477	447
959	10489	437
960	10500	426
961	10510	415
962	10520	404
963	10534	393
964	10544	382
965	10557	371
966	10568	360
967	10579	349
968	10594	338
969	10608	328
970	10620	317
971	10640	306
972	10655	295
973	10665	284
974	10677	273
975	10690	262
976	10703	251
977	10715	241
978	10727	230
979	10739	219
980	10752	208
981	10764	197
982	10777	186
983	10788	175
984	10799	164
985	10813	153
986	10823	142
987	10833	131
988	10842	120
989	10855	109
990	10867	98
991	10878	87
992	10890	76
993	10901	65
994	10913	54
995	10927	43
996	10940	32
997	10950	21
998	10959	10
999	10968	0
920	10
999	10930	0
